Consider defining a bean of type 'com.maxinhai.platform.service.RoutingOperationRelService' in your configuration.

2025-08-17 23:06:50.437 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 23:06:50.437 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 23:06:50.437 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 23:07:37.818 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:07:37.825 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 23404 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:07:37.826 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:07:39.693 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:07:39.766 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 23:07:39.768 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 23:07:39.780 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 23:07:39.780 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-17 23:07:39.780 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-17 23:07:39.780 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-17 23:07:39.822 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-17 23:07:42.230 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-17 23:07:43.051 [main] INFO  com.maxinhai.platform.MdmApplication - Started MdmApplication in 6.888 seconds (JVM running for 7.386)
2025-08-17 23:08:18.491 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 23:08:18.491 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 23:08:18.491 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 23:08:18.492 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-17 23:08:18.653 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-17 23:08:18.653 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-17 23:08:18.658 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-17 23:08:18.659 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-17 23:08:18.663 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-17 23:08:18.663 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-08-17 23:08:23.405 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:08:23.413 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 24508 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:08:23.414 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:08:24.890 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:08:24.978 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 23:08:24.980 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 23:08:24.994 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 23:08:24.994 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-17 23:08:24.994 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-17 23:08:24.994 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-17 23:08:25.041 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-17 23:08:27.694 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-17 23:08:28.512 [main] INFO  com.maxinhai.platform.MdmApplication - Started MdmApplication in 6.739 seconds (JVM running for 7.211)
2025-08-17 23:10:03.092 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 23:10:03.092 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 23:10:03.092 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 23:10:03.093 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-17 23:10:03.390 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-17 23:10:03.391 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-17 23:10:03.398 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-17 23:10:03.399 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-17 23:10:03.408 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-17 23:10:03.408 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-08-17 23:10:09.323 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:10:09.328 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 9376 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:10:09.329 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:10:10.766 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:10:10.858 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 23:10:10.860 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 23:10:10.874 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 23:10:10.874 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-17 23:10:10.874 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-17 23:10:10.874 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-17 23:10:10.904 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-17 23:10:13.481 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-17 23:10:14.333 [main] INFO  com.maxinhai.platform.MdmApplication - Started MdmApplication in 6.705 seconds (JVM running for 7.204)
2025-08-17 23:11:57.541 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 23:11:57.541 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 23:11:57.542 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 23:11:57.542 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-17 23:11:57.834 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-17 23:11:57.838 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-17 23:11:57.846 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-17 23:11:57.846 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-17 23:11:57.853 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-17 23:11:57.853 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-08-17 23:12:06.606 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:12:06.615 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 12180 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:12:06.616 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:12:08.084 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:12:08.180 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 23:12:08.184 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 23:12:08.207 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 23:12:08.207 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-17 23:12:08.207 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-17 23:12:08.207 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-17 23:12:08.255 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-17 23:12:10.444 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-17 23:12:11.292 [main] INFO  com.maxinhai.platform.MdmApplication - Started MdmApplication in 6.371 seconds (JVM running for 6.882)
2025-08-17 23:24:07.358 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 23:24:07.359 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 23:24:07.358 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 23:24:07.360 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-17 23:24:07.516 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-17 23:24:07.517 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-17 23:24:07.522 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-17 23:24:07.523 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-17 23:24:07.527 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-17 23:24:07.527 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-08-17 23:24:15.325 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:24:15.334 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 22488 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:24:15.335 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:24:16.738 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:24:16.807 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 23:24:16.809 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 23:24:16.823 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 23:24:16.824 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-17 23:24:16.824 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-17 23:24:16.824 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-17 23:24:16.852 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-17 23:24:19.313 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-17 23:24:20.180 [main] INFO  com.maxinhai.platform.MdmApplication - Started MdmApplication in 6.458 seconds (JVM running for 6.961)
2025-08-17 23:24:42.420 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-17 23:24:42.420 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-17 23:24:42.420 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-17 23:24:42.420 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-17 23:24:42.562 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-17 23:24:42.563 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-17 23:24:42.567 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-17 23:24:42.568 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-17 23:24:42.572 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-17 23:24:42.572 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
2025-08-17 23:24:47.169 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2025-08-17 23:24:47.177 [main] INFO  com.maxinhai.platform.MdmApplication - Starting MdmApplication using Java 11.0.26 on DESKTOP-8Q1FO7G with PID 14808 (C:\JavaProject\cloud-platform\cloud-platform-mdm\target\classes started by MaXinHai in C:\JavaProject\cloud-platform)
2025-08-17 23:24:47.178 [main] INFO  com.maxinhai.platform.MdmApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-17 23:24:48.427 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-17 23:24:48.489 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-17 23:24:48.491 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-17 23:24:48.503 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-17 23:24:48.503 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
