2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - Skipping MapperFactoryBean with name 'workCenterMapper' and 'com.maxinhai.platform.mapper.WorkCenterMapper' mapperInterface. Bean already defined with the same name!
2025-08-09 21:23:08.112 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.maxinhai.platform.mapper]' package. Please check your configuration.
2025-08-09 21:23:08.752 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Starting...
2025-08-09 21:23:08.824 [main] INFO  com.zaxxer.hikari.HikariDataSource - master - Start completed.
2025-08-09 21:23:08.825 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Starting...
2025-08-09 21:23:08.839 [main] INFO  com.zaxxer.hikari.HikariDataSource - slave - Start completed.
2025-08-09 21:23:08.840 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [slave] success
2025-08-09 21:23:08.840 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource - add a datasource named [master] success
2025-08-09 21:23:08.840 [main] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource initial loaded [2] datasource,primary datasource named [master]
2025-08-09 21:23:08.868 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2025-08-09 21:23:11.094 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2025-08-09 21:23:12.045 [main] INFO  com.maxinhai.platform.WarehouseApplication - Started WarehouseApplication in 6.65 seconds (JVM running for 7.336)
2025-08-09 21:37:10.654 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-08-09 21:37:10.655 [Thread-6] WARN  com.alibaba.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-08-09 21:37:10.656 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-08-09 21:37:10.659 [Thread-1] WARN  com.alibaba.nacos.common.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-08-09 21:37:10.951 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource start closing ....
2025-08-09 21:37:10.952 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown initiated...
2025-08-09 21:37:10.959 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - slave - Shutdown completed.
2025-08-09 21:37:10.959 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown initiated...
2025-08-09 21:37:10.967 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - master - Shutdown completed.
2025-08-09 21:37:10.967 [SpringApplicationShutdownHook] INFO  c.b.dynamic.datasource.DynamicRoutingDataSource - dynamic-datasource all closed success,bye
